# CALIBRATION DONE VIA bohlin-MODEL of VEGA
# ----------------------------------- NOTES ON INDIVIDUAL SYSTEMS  -------
# ----------------------------------- can be important!!!          -------
#
# Johnson calibration from Asagio A&A card (Vega from UBVRIJKLMNH Photo-electric Catalogue, Morel et al., 1978)
# Landolt UBVRI from synphot http://www.stsci.edu/hst/HST_overview/documents/synphot/c034.html#335184
#    references in synphot are Bohlin & Gilliland (2004), Maíz Apellániz (2006), Holberg & Bergeron (2006)
# TD1 calibration derived myself
# SDSS calibration from site above, but VEGA mags from Holberg & Bergeron 2006, compatible with http://www.sdss.org/dr6/algorithms/sdssUBVRITransform.html
# GALEX from http://galexgi.gsfc.nasa.gov/docs/galex/FAQ/counts_background.html
#   ---> make sure to take the GALEX calibration from the literature, this is much safer I guess
# GAIA Calibrations are pre-launch and thus only for simulation purposes
# MIPS from Rieke et al, 2006 or Engelbrach (ssc.spitzer.caltech.edu/mips/calib)
#      Be careful, IRAC and MIPS calibrations are not for the 'weighted average'
#      flux, but come readily from the calibration tables.
#      Here, the lambda_eff is calculated as the weighted average of the
#      response curve
# BESSEL response curves from CHORIZOS, zeropoints from Bessel, 1990
# IPHAS is defined as 0 magnitude for r', i' and Ha band for Vega (Drew et al., 2005)
# UVEX is defined as 0 magnitude in all bands (Paul Groot, priv. comm.)
# WISE zeropoints defined in Wright 2010 ""zeropoints on the Vega system in the WISE passbands of Flam = 8.180e−15, 2.415e−15, 6.515e−17 & 5.090e−18 W/cm2/µm, which convert""
# STROMGREN calibration from Maiz-Apellaniz (2007) (used to be from synphot user guide and earlier from Asagio A&A card)
#    ----> used to be STROMGREN   U   3.25e-09   0   0   0   1.288   1.06679608688e-08   
#                     STROMGREN   V   7.18e-09   0   0   0   0.040   7.57261249786e-09   
#                     STROMGREN   B   5.81e-09   0   0   0   -0.120   5.11028586313e-09   
#                     STROMGREN   Y   3.70e-09   0   0   0   -0.123   3.20363998209e-09
#    ----> SYNPHOT: STROMGREN   U   3.25e-09   0   0   0   1.459   1.24876700135e-08   
#                   STROMGREN   V   7.18e-09   0   0   0   0.206   8.82359841247e-09   
#                   STROMGREN   B   5.81e-09   0   0   0   0.045   5.949016791e-09   
#                   STROMGREN   Y   3.70e-09   0   0   0   0.038   3.71572620327e-09
#    ----> MAIZ-APELLANIZ: STROMGREN   U   -   0   0   0   1.432   -
#                          STROMGREN   V   -   0   0   0   0.179   -
#                          STROMGREN   B   -   0   0   0   0.018   -
#                          STROMGREN   Y   -   0   0   0   0.014   -
# COUSINS.V is a copy of JOHNSON.V
#=================================
# THE FOLLOWING SYSTEMS HAVE BEEN THOROUGHLY CHECKED (both zeropoints and magnitude)
#
#- STROMGREN (Maiz-Apellaniz 2007, Chorizos)
#- 2MASS     (Maiz-Apellaniz 2007, Chorizos)
#- SDSS      (Maiz-Apellaniz 2007, Chorizos)
#- TYCHO2    (Maiz-Apellaniz 2007, Chorizos)
#- COUSINS   (Maiz-Apellaniz 2007, Chorizos)
#- LANDOLT   (SYNPHOT, but confusion between B2 and B3 (same zeropoint assumed))
#- GENEVA    (Rufener database and GCPD)
#- BESSELL   (Bessel, 1990)  #-- but based on old Vega model (1980, see paper): Use colors (otherwise ZP(B)=-0.102)
#
#
# THE FOLLOWING SYSTEMS ARE VERY UNCERTAIN
#- JOHNSON
#=================================
#
#  Flam0 is given in units of erg/s/cm2/AA
#
#
photband               eff_wave type    zp_corr          Flam0      source
 2MASS.H                 16497.1 CCD       0.009    1.13535e-10     Maiz-Appellaniz2007                                                  
 2MASS.J                 12412.1 CCD      -0.021    3.11048e-10     Maiz-Appellaniz2007                                                  
 2MASS.KS                21909.2 CCD           0    4.27871e-11     Maiz-Appellaniz2007                                                  
 ACSHRC.F220W            2255.32 CCD           0    4.53976e-09     nan                                                                  
 ACSHRC.F250W            2715.77 CCD           0    3.72224e-09     nan                                                                  
 ACSHRC.F330W            3362.73 CCD           0    3.24002e-09     nan                                                                  
 ACSHRC.F344N            3433.77 CCD           0    3.19801e-09     nan                                                                  
 ACSHRC.F435W            4311.02 CCD           0    6.34395e-09     nan                                                                  
 ACSHRC.F475W            4775.76 CCD           0    5.20376e-09     nan                                                                  
 ACSHRC.F502N            5022.89 CCD           0    4.65992e-09     nan                                                                  
 ACSHRC.F550M            5579.84 CCD           0    3.41888e-09     nan                                                                  
 ACSHRC.F555W            5355.96 CCD           0    3.81922e-09     nan                                                                  
 ACSHRC.F606W            5887.96 CCD           0    2.91419e-09     nan                                                                  
 ACSHRC.F625W            6295.53 CCD           0     2.3697e-09     nan                                                                  
 ACSHRC.F658N            6583.73 CCD           0    1.77539e-09     nan                                                                  
 ACSHRC.F660N            6599.04 CCD           0    1.93351e-09     nan                                                                  
 ACSHRC.F775W            7665.09 CCD           0    1.30147e-09     nan                                                                  
 ACSHRC.F814W            8115.33 CCD           0    1.11694e-09     nan                                                                  
 ACSHRC.F850LP           9145.23 CCD           0     8.0509e-10     nan                                                                  
 ACSHRC.F892N            8916.08 CCD           0    8.73963e-10     nan                                                                  
 ACSSBC.F115LP           1406.06 CCD           0    4.52309e-09     nan                                                                  
 ACSSBC.F122M            1273.65 CCD           0    1.78382e-09     nan                                                                  
 ACSSBC.F125LP           1437.54 CCD           0    5.10956e-09     nan                                                                  
 ACSSBC.F140LP           1527.00 CCD           0    6.32305e-09     nan                                                                  
 ACSSBC.F150LP           1610.66 CCD           0    6.59853e-09     nan                                                                  
 ACSSBC.F165LP           1757.90 CCD           0    6.23655e-09     nan                                                                  
 ACSWFC.F435W            4317.42 CCD           0    6.41395e-09     nan                                                                  
 ACSWFC.F475W            4744.37 CCD           0    5.29277e-09     nan                                                                  
 ACSWFC.F502N            5023.00 CCD           0    4.66007e-09     nan                                                                  
 ACSWFC.F550M            5581.24 CCD           0    3.41655e-09     nan                                                                  
 ACSWFC.F555W            5359.57 CCD           0    3.81192e-09     nan                                                                  
 ACSWFC.F606W            5917.68 CCD           0    2.87124e-09     nan                                                                  
 ACSWFC.F625W            6310.47 CCD           0    2.35216e-09     nan                                                                  
 ACSWFC.F658N            6583.95 CCD           0    1.77549e-09     nan                                                                  
 ACSWFC.F660N            6599.43 CCD           0    1.93353e-09     nan                                                                  
 ACSWFC.F775W            7693.02 CCD           0    1.28672e-09     nan                                                                  
 ACSWFC.F814W            8059.77 CCD           0    1.13432e-09     nan                                                                  
 ACSWFC.F850LP           9054.79 CCD           0    8.21948e-10     nan                                                                  
 AKARI.L15                156841 BOL           0    2.00796e-14     nan                                                                  
 AKARI.L18W               186321 BOL           0    1.03826e-14     nan                                                                  
 AKARI.L24                229866 BOL           0    4.33162e-15     nan                                                                  
 AKARI.N160          1.61215e+06 BOL           0    1.71999e-18     nan                                                                  
 AKARI.N2                23493.5 BOL           0    3.19441e-11     nan                                                                  
 AKARI.N3                31990.5 BOL           0    9.98454e-12     nan                                                                  
 AKARI.N4                43480.4 BOL           0     3.0884e-12     nan                                                                  
 AKARI.N60                649413 BOL           0    6.83648e-17     nan                                                                  
 AKARI.S11                105329 BOL           0    9.78412e-14     nan                                                                  
 AKARI.S7                71510.5 BOL           0    4.45022e-13     nan                                                                  
 AKARI.S9W               87264.6 BOL           0    2.10269e-13     nan                                                                  
 AKARI.WIDEL         1.45288e+06 BOL           0    2.67019e-18     nan                                                                  
 AKARI.WIDES              836666 BOL           0    2.61537e-17     nan                                                                  
 ANS.15N                 1545.00 CCD   -0.675376    6.76317e-09     Wesselius1980                                                        
 ANS.15W                 1549.00 CCD   -0.687251    6.83755e-09     Wesselius1980                                                        
 ANS.18                  1805.68 CCD   -0.568371    6.12842e-09     Wesselius1980                                                        
 ANS.22                  2199.22 CCD           0    4.73981e-09     nan                                                                  
 ANS.25                  2493.00 CCD  -0.0606239    3.83928e-09     Wesselius1980                                                        
 ANS.33                  3295.35 CCD    0.102499     3.3037e-09     Wesselius1980                                                        
 APASS.B                 4303.59 CCD      -0.027    6.40615e-09     Home_calibrated                                                      
 APASS.G                  4702.5 CCD      -0.001    4.92257e-09     Home_calibrated                                                      
 APASS.I                 7489.98 CCD      -0.039    1.94038e-09     Home_calibrated                                                      
 APASS.R                 6175.58 CCD       -0.01    2.85425e-09     Home_calibrated                                                      
 APASS.V                 5437.31 CCD      -0.001    3.66992e-09     Home_calibrated                                                      
 APASS2.B                4303.59 CCD       -0.04    6.43075e-09     Home_calibrated                                                      
 APASS2.G                 4702.5 CCD      -0.013    4.99231e-09     Home_calibrated                                                      
 APASS2.I                7489.98 CCD      -0.039    1.95044e-09     Home_calibrated                                                      
 APASS2.R                6175.58 CCD      -0.011    2.87212e-09     Home_calibrated                                                      
 APASS2.V                5437.31 CCD      -0.007    3.70491e-09     Home_calibrated                                                                                                                     
 ARGUE.R                 6874.80 CCD       0.285    1.80973e-09     GCPD                                                                 
 ARGUE.R8                8485.73 CCD       0.303    1.00692e-09     GCPD                                                                 
 ARGUE.R9                8459.11 CCD       0.321    1.00354e-09     GCPD                                                                                                                                 
 BESSEL.H                16441.7 CCD           0    1.15039e-10     nan                                                                  
 BESSEL.J                12347.7 CCD           0    3.14613e-10     nan                                                                  
 BESSEL.K                22090.6 CCD           0    3.97709e-11     nan                                                                  
 BESSEL.L                34799.6 CCD           0    7.17418e-12     nan                                                                  
 BESSEL.LPRIME           38275.4 CCD           0    4.95932e-12     nan                                                                  
 BESSEL.M                47317.2 CCD           0     2.1794e-12     nan                                                                  
 BESSELL.B               4386.01 CCD      -0.104    6.28778e-09     Bessel1990                                                           
 BESSELL.BW              4392.42 CCD           0    6.24145e-09     nan                                                                  
 BESSELL.I               8035.48 CCD       0.443    1.13147e-09     Bessel1990                                                           
 BESSELL.R               6526.85 CCD       0.193     2.1693e-09     Bessel1990                                                           
 BESSELL.U               3592.66 CCD        0.79    4.00565e-09     Bessel1990                                                           
 BESSELL.V               5490.66 CCD       0.008    3.60833e-09     Bessel1990                                                           
 BRITE.B                 4246.37 CCD           0    6.88517e-09     nan                                                                  
 BRITE.R                 6236.81 CCD           0    2.43832e-09     nan                                                                  
 CAMELOT-BR.GAMMA        4355.23 CCD           0    6.24148e-09     nan                                                                  
 CAMELOT-JOHNSON.I        8706.7 CCD           0    9.24657e-10     nan                                                                  
 CAMELOT-JOHNSON.R        6401.3 CCD           0    2.26677e-09     nan                                                                  
 CAMELOT-JOHNSON.U       3656.13 CCD           0    4.24922e-09     nan                                                                  
 CAMELOT-JOHNSON.V       5408.35 CCD           0    3.75051e-09     nan                                                                  
 CAMELOT-SDSS.G          4758.55 CCD           0    5.25556e-09     nan                                                                  
 CAMELOT-SDSS.I          7700.34 CCD           0    1.28391e-09     nan                                                                  
 CAMELOT-SDSS.R          6216.92 CCD           0    2.46367e-09     nan                                                                  
